tip,slug,category,problem,defensive_pattern,checkable,severity_hint,note
Flexbox wrapping,flexbox-wrapping,layout/flexbox,Flex items stay on one line and overflow horizontally when space runs out,flex-wrap: wrap,judgment,polish,"Whether a single-line flex row is intentional or a bug needs the rendered width; a static rule would flag every legitimate nowrap toolbar."
Image distortion,image-compressed,images,A fixed-ratio img squashes or stretches when the source aspect ratio differs,object-fit: cover,judgment,polish,"object-fit need is conditional on the source vs box ratio; not knowable from static HTML without the asset."
Long content truncation,long-content,overflow/scroll,User-generated text overruns its container and breaks the layout,white-space: nowrap; overflow: hidden; text-overflow: ellipsis,rendered,polish,"Whether text actually overflows needs scrollWidth vs clientWidth; cataloged for the .mjs sweep."
Component spacing,spacing,layout/spacing,Adjacent elements collide when one side's content grows,"margin between title and action, added ahead of time",judgment,polish,"A craft habit (reserve spacing preemptively); collision only shows when rendered with long content."
auto-fit vs auto-fill,auto-fit-fill,grid,auto-fit stretches a lone grid item across the whole row unexpectedly,"repeat(auto-fill, minmax(min, 1fr))",judgment,polish,"Prefer auto-fill over auto-fit; whether the stretch is unwanted depends on intent and item count."
Background no-repeat,bg-repeat,images,A non-tiling background image tiles when the box is larger than the image,background-repeat: no-repeat,static,polish,"Statically checkable: a background-image:url() that is not a gradient and has no background-repeat. Low-FP if scoped to url() backgrounds."
Grid fixed values,css-grid-fixed-values,grid,"Fixed grid track widths (250px 1fr) force horizontal scroll on small viewports",wrap fixed-track grid in a min-width media query,rendered,polish,"Needs viewport-relative evaluation; whether tracks overflow is a rendered concern."
CSS variable fallback,css-variable-fallback,variables,A var() resolves to nothing and the property breaks when the variable is undefined,"var(--x, fallback)",judgment,polish,"Most var() use is safe because the variable IS defined in scope; a static rule would false-positive on nearly every design-token page. Judgment, not a rule."
Grid fixed sizes,fixed-sizes,layout/spacing,Hard-coded width/height clips content that grows beyond it,"prefer min-width/min-height (or max-*) over fixed width/height",judgment,polish,"Fixed sizes are often correct (icons, avatars); flagging them blindly is noise."
Flexbox min-content size,flexbox-min-content-size,layout/flexbox,A flex item won't shrink below its content so long text/images overflow the row,min-width: 0 (min-height: 0 for column),rendered,polish,"Only matters when the child is wider than the item; needs box metrics to know."
Grid min-content size,grid-min-content-size,grid,A grid item won't shrink below content size and overflows the track,"minmax(0, 1fr) or min-width: 0 on the item",rendered,polish,"Same as flexbox-min-content-size: overflow is a rendered condition."
Grouping vendor selectors,grouping-selectors,robustness,Comma-grouping vendor-prefixed selectors invalidates the whole rule,"write each vendor selector as its own rule, not comma-grouped",static,polish,"Cataloged static; rare in generated output and high-FP to detect reliably (valid grouped non-vendor selectors abound). Kept as judgment-grade reference, no rule."
Image max-width,img-max-width,images,An img wider than its container overflows the page,img { max-width: 100% },static,polish,"Statically checkable when an inline-styled img sets a fixed width but no max-width — scoped tightly to keep FP low."
Sticky in grid,position-sticky-grid,layout/flexbox,A position:sticky grid/flex item stretches to full height and never sticks,align-self: start on the sticky item,judgment,polish,"Whether the stretch defeats sticky needs layout; the fix is a craft habit."
Scroll chaining,scroll-chain,overflow/scroll,Scrolling to the end of a modal/overlay scrolls the page behind it,overscroll-behavior: contain (or -y),rendered,polish,"Identifying a scrollable overlay that needs containment requires resolving overflow + stacking context; rendered/judgment, not a clean static rule."
Scrollbar gutter,scrollbar-gutter,overflow/scroll,Layout shifts sideways when a scrollbar appears on long content,scrollbar-gutter: stable,judgment,polish,"Reserving the gutter is a per-container judgment; flagging its absence everywhere would be noise."
Scrollbars on demand,scrollbar,overflow/scroll,overflow:scroll always shows a scrollbar even with no overflow,overflow: auto (not scroll),static,polish,"Statically checkable: overflow:scroll vs auto. Low value/high taste — kept judgment; auto is preferred but scroll is sometimes deliberate."
Space-between gaps,space-between,layout/flexbox,justify-content:space-between leaves uneven gaps when item count varies,prefer gap; reserve space-between for fixed item counts,judgment,polish,"Whether space-between looks wrong depends on item count and intent."
Text over image,text-over-image,images,Text over an image becomes unreadable if the image fails to load,"img { background-color: <neutral> } (fallback); scrim/overlay for contrast",judgment,polish,"Adding a fallback bg-color to the img (and a scrim for legibility) is a craft habit; legibility itself is a rendered/contrast concern."
Vertical media queries,vertical-mq,responsive,Sticky/absolute elements overlap when the viewport is short,@media (min-height: ...) for height-dependent layout,judgment,polish,"Knowing a layout needs a vertical breakpoint requires rendering at short heights."
Accidental hover on touch,hover-media,responsive,A half-tap while scrolling triggers a sticky hover state on touch devices,@media (hover: hover) { :hover { ... } },rendered,polish,"Flagging every bare :hover would false-positive massively; whether it matters is device-conditional. Cataloged for judgment/rendered."
Image inner border,inner-shadow,images,A light image/avatar blends into a light background with no visible edge,"inset box-shadow / overlay ring on a wrapper (img can't take inset shadow)",judgment,polish,"A polish touch for avatars on matching backgrounds; not mechanically detectable."
Default flexbox stretching,default-flexbox-stretching,layout/flexbox,Flex items stretch to the tallest sibling (e.g. an avatar stretched by a long bio),align-items: center/start (or align-self on the item),rendered,polish,"Whether stretching is unwanted depends on content heights at render time."
Input zoom on iOS,input-zoom-safari,typography/inputs,iOS Safari zooms the page when focusing an input with font-size < 16px,input/select/textarea { font-size: 16px (>=16px) },static,important,"Real, deterministic iOS bug. Statically checkable: a form control (or a rule targeting one) with font-size < 16px. High confidence, important severity."
Button min-width,button-min-width,typography/inputs,A button sized to its label gets too small to tap when the label is short (i18n),button { min-width: ... },judgment,polish,"Meaningful min-width is layout/i18n dependent; not reliably checkable static. See forms-craft.md + i18n-rtl.md."
